distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Avenida Armendariz,-12.1340251,-77.0267675,-12.1345327,-77.0261247,89.71,0.18,0.18,0.27,0.14
Miraflores,Calle San Ignacio de Loyola,-12.1340251,-77.0267675,-12.1339382,-77.0267034,11.88,0.02,0.02,0.03,0.02
Miraflores,Calle Las Acacias,-12.1345327,-77.0261247,-12.135388,-77.0268173,120.98,0.24,0.24,0.36,0.19
Miraflores,Avenida Armendariz,-12.1345327,-77.0261247,-12.1352301,-77.0250275,142.18,0.28,0.28,0.42,0.22
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1299092,-77.0244542,-12.1294369,-77.0239882,72.82,0.15,0.15,0.22,0.12
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1306453,-77.0251803,-12.1299092,-77.0244542,113.48,0.23,0.23,0.34,0.18
Miraflores,Calle Melitón Porras,-12.1306453,-77.0251803,-12.1309999,-77.0250174,43.05,0.09,0.09,0.14,0.07
Miraflores,Avenida La Paz,-12.1314562,-77.0259803,-12.1312865,-77.0260295,19.52,0.04,0.04,0.06,0.03
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1314562,-77.0259803,-12.1306453,-77.0251803,125.02,0.25,0.25,0.38,0.2
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1314562,-77.0259803,-12.1320639,-77.0265621,92.36,0.18,0.18,0.27,0.14
Miraflores,Avenida La Paz,-12.1314562,-77.0259803,-12.1323881,-77.0257165,107.01,0.21,0.21,0.32,0.17
